recipient_name,year,local_procurement_share,local_procurement_share_count,n_awards,total_award_usd
Afghanistan,2025,1.0,1.0,32.0,3779488.4699999997
Afghanistan,2026,1.0,1.0,28.0,3111263.59
Albania,2025,1.0,1.0,1.0,148960.0
Angola,2024,0.8114464601975634,0.7777777777777778,9.0,3426082.59
Angola,2025,0.8763665964171675,0.8333333333333334,18.0,9924611.67
Angola,2026,0.02604277801928165,0.4166666666666667,24.0,289752630.63
Argentina,2023,1.0,1.0,1.0,118600.0
Argentina,2024,1.0,1.0,1.0,51292.0
Argentina,2025,1.0,1.0,2.0,722062.0
Argentina,2026,1.0,1.0,11.0,37993618.1
Azerbaijan,2026,0.03998522303364944,0.25,4.0,69860753.25
Bangladesh,2025,1.0,1.0,2.0,19354701.64
Bangladesh,2026,0.25369868909384025,0.18181818181818182,11.0,37882729.92
Belize,2026,0.0,0.0,2.0,60877.27
Benin,2026,0.0,0.0,2.0,692094.68
Bhutan,2026,0.5833312278529785,0.3333333333333333,3.0,126653.6
Botswana,2021,1.0,1.0,2.0,488027.52
Brazil,2026,0.0,0.0,2.0,21073.0
Burkina Faso,2020,0.0,0.0,1.0,1163574.31
Burkina Faso,2025,0.0,0.0,1.0,2437147.0
Burkina Faso,2026,0.0,0.0,1.0,556995.0
Burundi,2020,0.0,0.0,1.0,5951156.06
Burundi,2024,0.0,0.0,1.0,184748.6
Burundi,2025,0.032332012585294535,0.5714285714285714,7.0,19468073.58
Burundi,2026,0.21148360856313297,0.47058823529411764,17.0,77911224.95
Cambodia,2025,1.0,1.0,48.0,13024544.82
Cambodia,2026,0.8567543431456732,0.9834710743801653,121.0,41525398.54
Caribbean,2025,0.0,0.0,1.0,60822.0
Caribbean,2026,0.0,0.0,1.0,1320000.0
Central African Republic,2026,0.0,0.0,5.0,4182089.0
Central Asia,2026,0.0,0.0,6.0,3732262.0
Chad,2026,0.0,0.0,3.0,17400601.0
Chile,2025,1.0,1.0,1.0,6900.0
Comoros,2026,0.0,0.0,8.0,5960064.41
"Congo, Democratic Republic of",2022,0.25471572954348176,0.6666666666666666,3.0,791447.0
"Congo, Democratic Republic of",2023,0.9570765245781296,0.8571428571428571,14.0,3061960.82
"Congo, Democratic Republic of",2024,0.44943095338697925,0.5806451612903226,31.0,10271215.69
"Congo, Democratic Republic of",2025,0.6823967562289704,0.7469879518072289,83.0,67695328.06
"Congo, Democratic Republic of",2026,0.05036009866364825,0.3488372093023256,258.0,762553367.23
"Congo, Republic of",2026,0.026337525234701654,0.3333333333333333,3.0,21790430.0
Cote d'Ivoire,2025,0.0,0.0,1.0,19739667.0
Croatia,2024,0.0,0.0,1.0,14025.0
DRC - Angola,2024,0.0,0.0,1.0,48051.11
DRC - Angola,2026,0.0,0.0,3.0,26763952.139999997
Djibouti,2025,0.0,0.0,1.0,931120.0
Djibouti,2026,1.0,1.0,3.0,8158529.07
Dominica,2026,1.0,1.0,1.0,100880.0
Dominican Republic,2026,0.14106849171852,0.4444444444444444,9.0,1118337.5399999998
East Asia and Pacific,2026,0.0,0.0,1.0,4250.0
Eastern and Southern Africa,2020,0.0,0.0,1.0,960539.47
Eastern and Southern Africa,2023,0.0,0.0,2.0,2010400.0
