recipient_name,year,local_procurement_share,local_procurement_share_count,n_awards,total_award_usd
Eastern and Southern Africa,2024,0.0,0.0,1.0,15000.0
Eastern and Southern Africa,2025,0.0,0.0,26.0,27614687.51
Eastern and Southern Africa,2026,0.0,0.0,78.0,27903249.85
Ecuador,2024,1.0,1.0,5.0,174250.03
Ecuador,2025,1.0,1.0,23.0,1573038.3099999998
Ecuador,2026,0.9999696451334813,0.995,200.0,67995686.91000001
"Egypt, Arab Republic of",2026,0.9735294111212788,0.8333333333333334,6.0,16455999.6
El Salvador,2025,0.9273139572733649,0.9642857142857143,56.0,13151756.02
El Salvador,2026,0.34939460011124507,0.9117647058823529,68.0,125310705.22
Eswatini,2026,0.08001252496414865,0.42857142857142855,7.0,880162.2
Ethiopia,2023,0.0,0.0,1.0,272272.3
Ethiopia,2025,0.510083397048395,0.5,8.0,41308207.739999995
Ethiopia,2026,0.3848713206458646,0.16666666666666666,18.0,79233368.61999999
"Gambia, The",2026,0.004715501718416557,0.3333333333333333,3.0,911886.0
Georgia,2026,1.0,1.0,3.0,3526960.31
Ghana,2024,1.0,1.0,2.0,217571.72999999998
Ghana,2025,1.0,1.0,1.0,30000.0
Ghana,2026,0.0,0.0,1.0,415465.0
Grenada,2026,1.0,1.0,1.0,72000.0
Guinea,2026,0.0,0.0,2.0,545573.0
Guinea-Bissau,2023,0.0,0.0,1.0,159951.0
Guinea-Bissau,2026,0.0,0.0,1.0,351996.53
Guyana,2026,0.0,0.0,1.0,448041.0
Haiti,2025,0.0023076365391198747,0.09090909090909091,11.0,25598095.28
Haiti,2026,0.022880162393864433,0.1590909090909091,44.0,70833089.91
Honduras,2023,0.010172478202159396,0.5,2.0,8945706.07
Honduras,2025,1.0,1.0,1.0,30000.0
Honduras,2026,0.0,0.0,1.0,860640.0
Horn of Africa,2026,0.0,0.0,2.0,15884318.25
Indonesia,2026,0.006078142942003059,0.5,4.0,73610292.53
Iraq,2016,1.0,1.0,1.0,4326119.63
Iraq,2017,1.0,1.0,7.0,2416244.0
Iraq,2018,1.0,1.0,7.0,10002779.5
Iraq,2019,1.0,1.0,5.0,2528163.5
Iraq,2020,1.0,1.0,5.0,875342.0
Iraq,2022,1.0,1.0,2.0,3178612.0
Iraq,2023,1.0,1.0,3.0,1325548.5
Iraq,2024,1.0,1.0,1.0,719545.0
Iraq,2025,1.0,1.0,7.0,4961294.0
Iraq,2026,1.0,1.0,2.0,125858.0
Jamaica,2026,1.0,1.0,1.0,361733.93
Kazakhstan,2026,0.0,0.0,1.0,219523592.9
Kenya,2026,1.0,1.0,9.0,3692976.82
Kiribati,2026,0.008404864826534138,0.1111111111111111,9.0,11897871.3
Kyrgyz Republic,2026,0.29344738422009753,0.36363636363636365,11.0,8599787.0
Lao People's Democratic Republic,2025,0.0925847151084758,0.9,10.0,11117715.799999999
Lao People's Democratic Republic,2026,0.9659487595925118,0.9649122807017544,57.0,24375029.81
Latin America and Caribbean,2026,0.0,0.0,1.0,6374.03
Lebanon,2025,1.0,1.0,13.0,9632321.0
Lebanon,2026,0.9216663753607744,0.9523809523809523,21.0,5618149.32
Lesotho,2026,0.16013531512595147,0.25,4.0,3101622.21
Liberia,2025,0.919424616683631,0.8571428571428571,7.0,4294115.47
Liberia,2026,0.03102682909801237,0.6521739130434783,46.0,108327834.9
Madagascar,2024,0.0,0.0,2.0,483529.0
Madagascar,2025,0.0,0.0,2.0,6596142.470000001
Madagascar,2026,0.08923034754102452,0.1111111111111111,9.0,98515812.19
Malawi,2025,0.46755987669627985,0.5555555555555556,9.0,11626166.66
Malawi,2026,0.6558622364325832,0.7027027027027027,37.0,52523801.29
Maldives,2025,0.0,0.0,1.0,8090.0
Maldives,2026,0.0,0.0,3.0,80288050.0
Marshall Islands,2025,1.0,1.0,2.0,34282.07
Marshall Islands,2026,0.6120786459513783,0.6666666666666666,15.0,2283338.39
Mauritania,2025,0.0,0.0,2.0,6297315.0
Mexico,2026,0.0,0.0,1.0,360.0
"Micronesia, Federated States of",2024,0.0,0.0,1.0,66188.0
"Micronesia, Federated States of",2025,1.0,1.0,1.0,24999.5
"Micronesia, Federated States of",2026,0.44979592968475957,0.4,15.0,4233317.809999999
Moldova,2024,1.0,1.0,2.0,173870.0
Moldova,2025,0.8714858235885312,0.8,5.0,200491.5
Moldova,2026,1.0,1.0,8.0,2254968.0
Mongolia,2026,1.0,1.0,1.0,14495080.0
Mozambique,2023,0.0,0.0,1.0,3658235.0
Mozambique,2025,0.0008272070888860955,0.25,4.0,5820791.51
Mozambique,2026,0.09862069592865176,0.5,18.0,117591898.24
Namibia,2026,0.0,0.0,1.0,18769410.0
Niger,2025,0.0,0.0,1.0,27092271.0
Niger,2026,0.0,0.0,1.0,4402300.0
Nigeria,2024,0.0,0.0,2.0,1518437.5
Nigeria,2025,0.026862843970706363,0.6,5.0,1114624.35
Nigeria,2026,0.9065369980814036,0.9230769230769231,13.0,116469851.99
OECS Countries,2020,0.0,0.0,1.0,168750.0
OECS Countries,2021,0.0,0.0,1.0,66155.0
OECS Countries,2023,0.0,0.0,3.0,34414.0
Pacific 1,2026,0.0,0.0,3.0,58011.15
Pacific 2,2025,0.0,0.0,1.0,1705118.24
Pakistan,2025,0.893163072579158,0.8333333333333334,6.0,1572490.0
Pakistan,2026,0.17723513663793647,0.6,5.0,8667596.5
Panama,2025,1.0,1.0,1.0,1438.08
Papua New Guinea,2025,0.0,0.0,1.0,204920.0
Papua New Guinea,2026,0.23688457609879787,0.5,4.0,44805012.36
Peru,2025,0.0,0.0,1.0,169500.0
Peru,2026,0.0,0.0,4.0,1046281.6000000001
Rwanda,2025,1.0,1.0,4.0,12980629.67
Rwanda,2026,0.15003195974263608,0.2727272727272727,11.0,98646570.34
Samoa,2026,0.0,0.0,1.0,369292.0
Sao Tome and Principe,2026,0.5761662949374986,0.8,5.0,7633371.04
Sierra Leone,2020,1.0,1.0,1.0,50203.0
Sierra Leone,2024,1.0,1.0,3.0,81803.0
Sierra Leone,2025,0.27602164488649156,0.5,2.0,1578772.89
Sierra Leone,2026,0.6016113270900727,0.5789473684210527,19.0,26114737.51
Solomon Islands,2026,0.9633991209513911,0.3333333333333333,3.0,6776096.2700000005
"Somalia, Federal Republic of",2019,0.0,0.0,3.0,80800.05
"Somalia, Federal Republic of",2020,0.0,0.0,7.0,144844.75
"Somalia, Federal Republic of",2021,0.3643148840936502,0.3333333333333333,3.0,109303.33
"Somalia, Federal Republic of",2022,0.9307364899394448,0.7142857142857143,7.0,575339.02
"Somalia, Federal Republic of",2023,0.540989029729097,0.3333333333333333,6.0,549917.14
"Somalia, Federal Republic of",2024,0.9180673583329346,0.4,5.0,2717110.0
"Somalia, Federal Republic of",2025,0.04885505842089899,0.4782608695652174,23.0,27630300.599999998
"Somalia, Federal Republic of",2026,0.35642435673909584,0.8495575221238938,113.0,188514901.52
South Sudan,2023,1.0,1.0,1.0,324000.0
South Sudan,2024,1.0,1.0,1.0,14600.0
South Sudan,2025,1.0,1.0,7.0,467049.18
South Sudan,2026,0.027182985314555486,0.7142857142857143,21.0,152952791.31
Southern Africa,2026,0.0,0.0,2.0,60001022.7
Southwest Indian Ocean,2026,0.0,0.0,1.0,656193.38
Sri Lanka,2026,1.0,1.0,1.0,46800.0
St Maarten,2026,0.3131268120266679,0.6363636363636364,22.0,15213010.79
St. Lucia,2025,0.0,0.0,1.0,287865.0
St. Lucia,2026,0.01396958263077974,0.3333333333333333,3.0,715841.0
Sudan,2025,0.0,0.0,1.0,191853.11
Sudan,2026,0.6212073902674962,0.8,35.0,15111755.57
Suriname,2026,1.0,1.0,11.0,706559.02
Syrian Arab Republic,2026,0.0,0.0,1.0,9534144.0
Tajikistan,2025,1.0,1.0,1.0,880381.18
Tajikistan,2026,0.5788033895863448,0.18181818181818182,11.0,30804842.06
Tanzania,2024,1.0,1.0,1.0,26529.74
Tanzania,2025,0.0,0.0,1.0,1880000.0
Tanzania,2026,0.5817287221853896,0.15384615384615385,13.0,54373019.56
Timor-Leste,2026,0.0,0.0,1.0,38800054.0
Togo,2026,0.0,0.0,1.0,572315.96
Tonga,2026,0.0,0.0,3.0,789123.32
Tunisia,2026,0.0,0.0,1.0,35970717.0
Turkiye,2023,1.0,1.0,6.0,1093920.28
Turkiye,2024,1.0,1.0,15.0,2173728.5
Turkiye,2025,0.0591423366808526,0.16,25.0,14053080.19
Turkiye,2026,0.8029695542953804,0.8035714285714286,56.0,196488219.43
Uganda,2025,0.0,0.0,1.0,12390398.91
Uganda,2026,0.66389489127552,0.45454545454545453,11.0,15387282.15
Ukraine,2024,1.0,1.0,3.0,6751490.19
Ukraine,2025,0.7514737228232563,0.8333333333333334,6.0,3955145.0300000003
Ukraine,2026,0.15783008617993718,0.6875,16.0,75924976.41000001
Uruguay,2025,1.0,1.0,2.0,22897.44
Uruguay,2026,1.0,1.0,10.0,322919.67
Uzbekistan,2025,0.7848435817534576,0.5454545454545454,11.0,3923557.6
Uzbekistan,2026,0.6415302898244208,0.5365853658536586,41.0,136375339.54
West Bank and Gaza,2025,1.0,1.0,1.0,1.0
West Bank and Gaza,2026,0.9748879873145047,0.9701492537313433,67.0,10618420.09
Western and Central Africa,2024,0.0,0.0,3.0,672556.51
Western and Central Africa,2025,0.0,0.0,7.0,43359114.69
Western and Central Africa,2026,0.0,0.0,27.0,15793934.579999998
Zambia,2025,0.8149320689793669,0.8461538461538461,26.0,7078481.9
Zambia,2026,0.2641636057885954,0.5714285714285714,14.0,6626486.32
