,count,mean,std,min,25%,50%,75%,max
share_aidtype_technical_cooperation,4169.0,0.024323953123276985,0.04455871568509047,0.0,0.0,0.006922590597239029,0.03126449923737484,0.5571381130292657
share_aidtype_budget_support,4169.0,0.0847080681425996,0.14873135302486326,-3.890187957287247e-05,0.0,0.00025788822630666797,0.11906692409473948,0.992563980669565
share_aidtype_project,4169.0,0.41562689721260876,0.33347545734510753,-0.025575114113740537,0.03621002942518495,0.44632443963757173,0.7311649917326646,0.9989515276951163
share_aidtype_pooled_earmarked,4169.0,0.027106664035906797,0.060446754657314014,-7.0292779646869106e-06,0.0,0.00010227392336314789,0.02573529848138472,0.6314574621521057
share_channel_public_recipient,4169.0,0.21608704779725602,0.263809869314634,-0.00014609099964614373,0.0,0.06616309453660273,0.42461078517399387,0.9770645751065201
share_channel_public_donor,4169.0,0.06509932117069661,0.11468701978854542,0.0,0.0,0.006964320035285318,0.09190093072831265,0.9986181330149839
share_channel_ngo,4169.0,0.07091851324309834,0.0846733185121804,0.0,0.0,0.041059349141230196,0.11476178221016053,0.6675999955706491
share_channel_multilateral,4169.0,0.08501564729034673,0.11402214340276559,0.0,0.0022098808386687902,0.047271446351797274,0.11427018785067337,0.9455406100420655
share_channel_private_recipient,4169.0,0.005234883472530535,0.023829780748125452,0.0,0.0,0.0,0.00041186740120549044,0.4684211690515669
share_finance_grant,4169.0,0.7279927969275484,0.2540846183216897,0.0,0.5602778245594968,0.78340631587887,0.9677382536105699,1.0255751141137406
share_finance_loan,4169.0,0.24771769018898004,0.24467461953475098,-0.025575114113740537,0.020460950483660225,0.1824850556613524,0.40343969661428053,1.0
share_untied,4169.0,0.69991679498914,0.23264414355892252,-0.21003645586439923,0.5739370589426058,0.7566754655044472,0.8786247109171813,1.0
share_tc_usd_irtc,4169.0,0.004941547519838962,0.05173888751930878,-0.0005374625707087335,0.0,0.0,0.0006889642425694303,2.4218145059388427
oda_pc_usd,4169.0,454.3696278801533,1965.9211773520797,0.0,16.987040204814203,52.90152932460495,128.42175867007006,34928.88558692422
oda_pct_gdp,3936.0,0.06793561798108058,0.13850533474606813,0.0,0.005660510418259043,0.025863369187676857,0.07285193688621092,3.258711242009132
n_donors,4169.0,31.186375629647397,16.285408684495966,1.0,18.0,29.0,43.0,77.0
