outcome,set,n,beta_tc,se_tc,beta_bs,beta_govt
log_gdppc,A,3538,-0.1342195443166224,0.19807131806673706,-0.0795756794165188,
log_gdppc,B,3538,-0.20307998838150562,0.17734715098760426,-0.0672926540164928,
log_gdppc,C,2865,-0.3688238122539908,0.19640180314990782,-0.02038602638930717,
gfcf_gdp,A,2913,-0.24880632282177254,7.649894837852858,-2.3996098546123217,
gfcf_gdp,B,2913,-0.6380903019990157,7.613968070419988,-2.5455963886635473,
gfcf_gdp,C,2758,-0.07680837283470934,7.534862521257309,-3.698344045770295,
manf_gdp,A,3215,-5.378905349814172,2.894872489306866,-0.48566268137021723,
manf_gdp,B,3215,-4.344531520542544,2.8398319973978756,-0.4661411588919109,
manf_gdp,C,2678,-3.8613691070764573,2.8915010140703155,-1.2087094282924724,
