window,outcome,xset,term,beta,se,p,n,r2_within
w1_2,log_gdppc,aidtype,share_aidtype_technical_cooperation,-0.22421948176337048,0.17238514148690695,0.193447512360994,3804,0.17613381850145726
w1_2,log_gdppc,aidtype,share_aidtype_budget_support,-0.06987209463804861,0.05475230484080192,0.20198459305048932,3804,0.17613381850145726
w1_2,log_gdppc,aidtype,share_aidtype_project,0.021179211772279855,0.047398291106234315,0.6550209324379279,3804,0.17613381850145726
w1_2,log_gdppc,aidtype,share_aidtype_pooled_earmarked,-0.3564076803835799,0.21321535922534932,0.09469236900790845,3804,0.17613381850145726
w1_2,log_gdppc,aidtype,share_aidtype_ngo_core,-0.9943735348353987,0.5827736737903578,0.08804205548186994,3804,0.17613381850145726
w1_2,log_gdppc,aidtype,share_aidtype_scholarships_students,-0.08434887368147598,0.2667677622781558,0.7518777012333444,3804,0.17613381850145726
w1_2,log_gdppc,aidtype,share_aidtype_admin_refugee_awareness,-1.7052724681575453,0.5197680361835837,0.001044796679047888,3804,0.17613381850145726
w1_2,log_gdppc,channel,share_channel_public_recipient,0.19743100482103948,0.06732623301518537,0.003383995057387512,3804,0.30415572645116995
w1_2,log_gdppc,channel,share_channel_public_donor,-0.17125222128661938,0.13252902973544475,0.19637484692885532,3804,0.30415572645116995
w1_2,log_gdppc,channel,share_channel_ngo,-0.13286925497504543,0.29046547969369124,0.6473853543274193,3804,0.30415572645116995
w1_2,log_gdppc,channel,share_channel_multilateral,-0.1959321273543482,0.08801169693896949,0.026061591608115497,3804,0.30415572645116995
w1_2,log_gdppc,channel,share_channel_private_recipient,-0.31692540025658444,0.25354789250713555,0.2113937846419096,3804,0.30415572645116995
w1_2,log_gdppc,finance,share_finance_grant,0.027227776744497265,0.040391396211356664,0.5002916371439468,3804,0.2639393189298437
w1_2,log_gdppc,finance,share_finance_loan,0.12988400859906685,0.06636861318884348,0.05042284747242842,3804,0.2639393189298437
w1_2,log_gdppc,extra,share_tc_usd_irtc,0.07829646780543394,0.08158079100288619,0.3372492336811028,3804,0.27087290657634955
w1_2,log_gdppc,extra,share_untied,-0.04644059795546499,0.03163211147153619,0.14215081931867513,3804,0.27087290657634955
w1_2,gfcf_gdp,aidtype,share_aidtype_technical_cooperation,3.866443371998786,8.156052570029122,0.6354937606492126,3091,0.0053847622215768
w1_2,gfcf_gdp,aidtype,share_aidtype_budget_support,-1.4589306903900514,1.8757816987625624,0.43676618978792625,3091,0.0053847622215768
w1_2,gfcf_gdp,aidtype,share_aidtype_project,0.8074154202362175,1.3483180748200514,0.5493315209284773,3091,0.0053847622215768
w1_2,gfcf_gdp,aidtype,share_aidtype_pooled_earmarked,-7.904793459992598,6.067741425059264,0.19276010131892773,3091,0.0053847622215768
w1_2,gfcf_gdp,aidtype,share_aidtype_ngo_core,2.5378892132094477,17.170851697276067,0.8825090668023738,3091,0.0053847622215768
w1_2,gfcf_gdp,aidtype,share_aidtype_scholarships_students,5.608440549909725,6.554833514746416,0.39227850406754516,3091,0.0053847622215768
w1_2,gfcf_gdp,aidtype,share_aidtype_admin_refugee_awareness,-20.353896046514187,24.108404435174208,0.398589965090292,3091,0.0053847622215768
w1_2,gfcf_gdp,channel,share_channel_public_recipient,3.307567351806011,2.036321636711411,0.10442245249414928,3091,0.018884270773647738
w1_2,gfcf_gdp,channel,share_channel_public_donor,-1.957747736046378,4.108514618267247,0.6337467028051802,3091,0.018884270773647738
w1_2,gfcf_gdp,channel,share_channel_ngo,3.6278882245526938,5.049650680697321,0.47254119762400015,3091,0.018884270773647738
w1_2,gfcf_gdp,channel,share_channel_multilateral,-6.910702822540168,2.7737788350777226,0.012777551509194573,3091,0.018884270773647738
w1_2,gfcf_gdp,channel,share_channel_private_recipient,6.29103355668233,4.597295463523072,0.17128535770480458,3091,0.018884270773647738
w1_2,gfcf_gdp,finance,share_finance_grant,0.07462606118927996,1.5664204938368298,0.9620054851239255,3091,-0.029108097775284225
w1_2,gfcf_gdp,finance,share_finance_loan,1.6184038130470484,1.8076671497719368,0.3707003559411466,3091,-0.029108097775284225
w1_2,gfcf_gdp,extra,share_tc_usd_irtc,-0.4824691307117338,2.1241338115435013,0.8203331304044568,3091,-0.017096010675019757
w1_2,gfcf_gdp,extra,share_untied,0.22532681563067222,0.8837178745957144,0.7987595354458212,3091,-0.017096010675019757
w1_2,manf_gdp,aidtype,share_aidtype_technical_cooperation,-4.876637567934817,2.7161082972499133,0.07267533380770574,3406,0.05098626234392545
w1_2,manf_gdp,aidtype,share_aidtype_budget_support,-0.19888548220894972,0.7278297447309311,0.7846721600340973,3406,0.05098626234392545
w1_2,manf_gdp,aidtype,share_aidtype_project,-0.3143755644007756,0.5793977879725584,0.5874493841361974,3406,0.05098626234392545
w1_2,manf_gdp,aidtype,share_aidtype_pooled_earmarked,-0.6101569405993263,3.056134577696453,0.8417669603183713,3406,0.05098626234392545
w1_2,manf_gdp,aidtype,share_aidtype_ngo_core,4.9518342593454685,7.245462139537356,0.4943782094034459,3406,0.05098626234392545
w1_2,manf_gdp,aidtype,share_aidtype_scholarships_students,-3.224426012207723,4.815028701982012,0.5031231868775099,3406,0.05098626234392545
w1_2,manf_gdp,aidtype,share_aidtype_admin_refugee_awareness,2.4163014803322884,9.473878490099535,0.7987016196066197,3406,0.05098626234392545
w1_2,manf_gdp,channel,share_channel_public_recipient,0.9858442528706437,0.9984992817808404,0.32355671082223525,3406,-0.08517646700977277
w1_2,manf_gdp,channel,share_channel_public_donor,0.4025992287991914,1.6320670442416405,0.8051710966090859,3406,-0.08517646700977277
w1_2,manf_gdp,channel,share_channel_ngo,-0.08091857751097815,2.4748848987422796,0.9739191142627632,3406,-0.08517646700977277
w1_2,manf_gdp,channel,share_channel_multilateral,1.4753296285967392,0.9513368833756654,0.12104834829135092,3406,-0.08517646700977277
w1_2,manf_gdp,channel,share_channel_private_recipient,-0.5462104259217923,3.0645663648597297,0.8585502397633089,3406,-0.08517646700977277
w1_2,manf_gdp,finance,share_finance_grant,-0.9881126239216999,0.7334103479273177,0.17798279123327476,3406,0.010789446173700812
w1_2,manf_gdp,finance,share_finance_loan,0.19712574495338817,0.7767474321031743,0.7996788714239651,3406,0.010789446173700812
w1_2,manf_gdp,extra,share_tc_usd_irtc,-0.4673489920729072,1.562617726339852,0.7648975733860306,3406,0.005816126446087089
w1_2,manf_gdp,extra,share_untied,-0.661137418365257,0.39585450901950103,0.09498583653294301,3406,0.005816126446087089
w1_2,tax_gdp,aidtype,share_aidtype_technical_cooperation,6.7999957065920436,9.020411622051101,0.45103392738516446,2077,0.04211388485825829
w1_2,tax_gdp,aidtype,share_aidtype_budget_support,5.544141092291992,7.380376266366821,0.4526235899552089,2077,0.04211388485825829
w1_2,tax_gdp,aidtype,share_aidtype_project,2.332956155118132,3.400358370362394,0.492737886837292,2077,0.04211388485825829
w1_2,tax_gdp,aidtype,share_aidtype_pooled_earmarked,-59.1824247911165,65.18201125739667,0.36401449065888625,2077,0.04211388485825829
w1_2,tax_gdp,aidtype,share_aidtype_ngo_core,2.855632733093819,22.587948083976425,0.8994103718055815,2077,0.04211388485825829
w1_2,tax_gdp,aidtype,share_aidtype_scholarships_students,-14.1812672781017,12.075864495386824,0.24040039445968064,2077,0.04211388485825829
w1_2,tax_gdp,aidtype,share_aidtype_admin_refugee_awareness,-42.933727002690375,34.41823519560422,0.21239757218182564,2077,0.04211388485825829
w1_2,tax_gdp,channel,share_channel_public_recipient,-1.0521701716665202,3.9515880442410514,0.7900633962730468,2077,0.05995345129906815
w1_2,tax_gdp,channel,share_channel_public_donor,0.5748703175942973,3.4555289465678367,0.8678890998198014,2077,0.05995345129906815
w1_2,tax_gdp,channel,share_channel_ngo,-13.883969305152593,17.935290863809186,0.43895768217991926,2077,0.05995345129906815
w1_2,tax_gdp,channel,share_channel_multilateral,-49.73485754829797,53.57766865606463,0.35338031749262067,2077,0.05995345129906815
w1_2,tax_gdp,channel,share_channel_private_recipient,-14.355798834769447,18.728862529289476,0.4434684079416238,2077,0.05995345129906815
w1_2,tax_gdp,finance,share_finance_grant,-8.90102517448721,12.50472110156998,0.4766661934797449,2077,0.020906701268439742
w1_2,tax_gdp,finance,share_finance_loan,-10.231817883107784,14.319160141917859,0.47497057590152636,2077,0.020906701268439742
w1_2,tax_gdp,extra,share_tc_usd_irtc,-15.828256052573206,16.273519205219376,0.3308542979297304,2077,0.02615417529828723
w1_2,tax_gdp,extra,share_untied,13.190737416470999,13.541936425609892,0.33014548364755014,2077,0.02615417529828723
w1_2,elec_access,aidtype,share_aidtype_technical_cooperation,7.127370080569575,11.855334830652916,0.5477486338229793,3704,0.3902271951487424
