test,term,beta,p,n,real_beta,placebo_mean,placebo_sd,pct_gt_real
lead_placebo,share_aidtype_technical_cooperation_lead,-0.14757095815285026,0.42425370550023933,3542,,,,
pseudo_outcome_urban,share_aidtype_technical_cooperation,-2.159993333858471,0.177597653601532,3608,,,,
pseudo_outcome_urban,share_aidtype_budget_support,-0.4194491315104127,0.29108931647911684,3608,,,,
pseudo_outcome_urban,share_aidtype_project,-0.21447162742546633,0.593993584618564,3608,,,,
pseudo_outcome_urban,share_aidtype_pooled_earmarked,0.1452854927799824,0.9111862432111095,3608,,,,
pseudo_outcome_urban,share_aidtype_ngo_core,0.17669806939094687,0.9726839897952049,3608,,,,
pseudo_outcome_urban,share_aidtype_scholarships_students,0.8719639142933719,0.610450077693498,3608,,,,
pseudo_outcome_urban,share_aidtype_admin_refugee_awareness,-0.9158057728118378,0.6487672716263124,3608,,,,
shuffle_placebo,share_aidtype_technical_cooperation,,,200,-0.1901071440240644,-0.0022685179023747334,0.08290789464263597,0.03
