file,url,retrieved_utc,bytes,sha256,license_note,notes
Deflators-base-2024.xlsx,https://webfs.oecd.org/oda/DataCollection/Resources/Deflators-base-2024.xlsx,2026-09-25T12:40:40Z,73097,d878aedc094c8d0ab52ca0a8003cec6450cf489350a4fc7dcfe93edd5c875c54,OECD terms of use (oecd.org/termsandconditions),DAC deflators base 2024
Table1_Data.zip,https://webfs-dcd.oecd.org/files/dotStat/Table1_Data.zip,2026-09-25T12:59:28Z,18725989,4f119d7aae1665b49e0b9821083b31d9c036c0409600b0883f15577032fecd54,OECD terms of use,via browser (Cloudflare); DAC1 flows by provider
Table2a_Data.zip,https://webfs-dcd.oecd.org/files/dotStat/Table2a_Data.zip,2026-09-25T12:59:28Z,203140421,cbfcff87bd6a56705181a525c3aedc7a65dbd229af3fd50241ae56c568ee1354,OECD terms of use,via browser (Cloudflare); DAC2a ODA disbursements donor x recipient
Table3a_Data.zip,https://webfs-dcd.oecd.org/files/dotStat/Table3a_Data.zip,2026-09-25T12:59:28Z,20056430,bcb9aa1d9ad2821e2de74090a278f00f59244f519adcb56ee26e0c2a11759ef7,OECD terms of use,via browser (Cloudflare); DAC3a commitments
Table5_Data.zip,https://webfs-dcd.oecd.org/files/dotStat/Table5_Data.zip,2026-09-25T12:59:28Z,6804605,f3415a19aff3bdee57316367e39188944e2dd2b862967f55d6555eb51c6c6d4b,OECD terms of use,via browser (Cloudflare); DAC5 ODA by sector and provider
TotalODF_Data.zip,https://webfs-dcd.oecd.org/files/dotStat/TotalODF_Data.zip,2026-09-25T12:59:28Z,223704,b9d47e8123ca7141a7c4f21a881279c774d62364bd3156813cb2d181fbd480e3,OECD terms of use,via browser (Cloudflare); Total ODF
TotalOfficial_Data.zip,https://webfs-dcd.oecd.org/files/dotStat/TotalOfficial_Data.zip,2026-09-25T12:59:28Z,17268825,86eb3dbecabd84fcb9283663fc8679a3c1cbe3d7d64b526c41feade4cd48fa95,OECD terms of use,via browser (Cloudflare); Total official flows
TotalReceipts_Data.zip,https://webfs-dcd.oecd.org/files/dotStat/TotalReceipts_Data.zip,2026-09-25T12:59:28Z,4691611,352ed212bed7dcf4266ae91a65ce8fbaf491d4695d50d4add478f7d5559526c1,OECD terms of use,via browser (Cloudflare); Recipient receipts
