file,url,retrieved_utc,bytes,sha256,license_note,notes
WPP2024_Demographic_Indicators_Medium.csv.gz,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/CSV_FILES/WPP2024_Demographic_Indicators_Medium.csv.gz,2026-09-25T12:43:03Z,16557272,286ac36bb1415e2e1ade03acfef0a29f0e4c087e2f78e38c48f50c5df89082bc,UN terms of use,"demographic indicators (pop, growth, TFR, dep ratios, urban)"
WPP2024_TotalPopulationBySex.csv.gz,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/CSV_FILES/WPP2024_TotalPopulationBySex.csv.gz,2026-09-25T12:43:04Z,16980593,66b84489fd7875b62de9b40d960b803b8c8439367c98deab89c2f770970925b9,UN terms of use,total population by sex
WPP2024_Population1JanuaryByAge5GroupSex_Medium.csv.gz,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/CSV_FILES/WPP2024_Population1JanuaryByAge5GroupSex_Medium.csv.gz,2026-09-25T13:04:39Z,30131964,29fbfe94ddfc776d560f6643ebc2b77da5a10c5af01383aa3b59cb9bdfe96622,UN terms of use,population by 5-yr age group and sex (medium variant)
