OECD Development Cooperation Directorate (DCD-DAC),,,,,,,,,,,,,,,,
Single table - for 2025 data,,,, ,,,,,,,,,,,,
including codes for channel pilot project,,,,,,,,,,,,,,,,
Updated January 2026,,,,,,,,,,,,,,,,
https://www.oecd.org/en/topics/sub-issues/oda-eligibility-and-conditions/dac-list-of-oda-recipients.html,,,,,,,,,,,,,Work in progress,,,
,,,,,,,,,,,,,For non-reporting organisations,,,
Channel Parent Category,Channel ID,Year,Acronym (ENG),Full Name (English),Acronym (FR),Full Name (French),Coefficient for core contributions,DAC 2a/3a Row,General contributions previously reported as co-operation modality:,General contributions reported as co-operation modality:,MCD,Outflow data in DAC stats,Geo-code,Purpose code,References/Notes,
10000,10000,,,PUBLIC SECTOR INSTITUTIONS,,INSTITUTIONS DU SECTEUR PUBLIC,,,,,,,,,,
10000,11000,,,Donor Government,,Gouvernement du donneur,,,,,,,,,,
11000,11001,2025,,Central Government,,Gouvernment central,,,,,MCD,,,,DCD/DAC/STAT(2015)14/REV1,
11000,11002,2025,,Local Government,,Gouvernment local,,,,,MCD,,,,DCD/DAC/STAT(2015)14/REV1,
11000,11003,2025,,Public corporations,,Entreprise publique,,,,,MCD,,,,DCD/DAC/STAT(2015)14/REV1,
11000,11004,2025,,Other public entities in donor country,,Autres entité publique dans le pays donneur,,,,,MCD,,,,DCD/DAC/STAT(2015)14/REV1,
10000,12000,,,Recipient Government,,Gouvernement du bénéficiaire,,,,,,,,,,
12000,12001,2025,,Central Government,,Gouvernment central,,,,,MCD,,,,DCD/DAC/STAT(2015)14/REV1,
12000,12002,2025,,Local Government,,Gouvernment local,,,,,MCD,,,,DCD/DAC/STAT(2015)14/REV1,
12000,12003,2025,,Public corporations,,Entreprise publique,,,,,MCD,,,,DCD/DAC/STAT(2015)14/REV1,
12000,12004,2025,,Other public entities in recipient country,,Autres entité publique dans le pays bénéficiaire,,,,,MCD,,,,DCD/DAC/STAT(2015)14/REV1,
10000,13000,,,Third Country Government (Delegated co-operation),,Gouvernement tiers (coopération déléguée),,,,,,,,,,
20000,20000,,,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY ,,ORGANISATIONS NON GOUVERNEMENTALES (ONG) et SOCIÉTÉ CIVILE,,,,,,,,,,
20000,21000,,,INTERNATIONAL NGO,,ONG INTERNATIONALE,,,,,,,,,,
21000,21045,2025,AMREF,African Medical and Research Foundation ,AMREF,Fondation africaine pour la médecine et la recherche,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2008)10,
21000,21046,2025,ACORD,Agency for Cooperation and Research in Development ,ACORD,Association de Coopération et de Recherche pour le Développement,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
21000,21001,2025,AGID,Association of Geoscientists for International Development ,AGID,Association de géoscientifiques pour le développement international,100,,B01,B01,Not MCD,,,,,
21000,21064,2025,CHAI,"Clinton Health Access Initiative, Inc. ",CHAI,Initiative Clinton pour l'accès à la santé,100,,B01,B01,,,,,Added: DCD/DAC/STAT(2019)34 ,
21000,21063,2025,CI,Conservation International,CI,Conservation International,79,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2017)13,
21000,21005,2025,CUTS,Consumer Unity and Trust Society International ,CUTS,Consumer Unity and Trust Society International,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2005)9,
21000,21029,2025,MSF,Doctors Without Borders,MSF,Médecins Sans Frontières,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2002)3,
21000,47035,2025,ENDA,Environmental Development Action in the Third World ,ENDA,Environnement et développement du Tiers-monde,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.  ,
21000,21007,2025,ELCI,Environmental Liaison Centre International ,CILE,Centre international de liaison pour l’environnement,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3,
21000,21503,2025,FHI360,Family Health International 360,FHI360,,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
21000,21011,2025,GCE,Global Campaign for Education ,CME,Campagne mondiale pour l’éducation,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3,
21000,21013,2025,HAI,Health Action International ,HAI,Health Action International ,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2000)4,
21000,21024,2025,IPS,"Inter Press Service, International Association ",IPS,"Inter Press Service, International Association",100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3,
21000,21038,2025,,International Alert,,International Alert,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2007)7,
21000,21057,2025,ICTJ,International Centre for Transitional Justice,ICTJ,Centre International pour la Justice Transitionnelle,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
21000,21016,2025,ICRC,International Committee of the Red Cross ,CICR,Comité international de la Croix-Rouge ,100,,B01,B01,MCD,,,,,
21000,21044,2025,ICCIDD,International Council for the Control of Iodine Deficiency Disorders,ICCIDD,Conseil international pour la lutte contre les troubles dus à une carence en iode,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Reclassified:  DCD/DAC/STAT(2008)10,
21000,21018,2025,IFRCRCS,International Federation of Red Cross and Red Crescent Societies ,FISCRCR,Fédération internationale des Sociétés de la Croix-Rouge et du Croissant-Rouge ,100,,B01,B01,MCD,,,,Reviewed and confirmed the channel category classification:  DCD/DAC/STAT(2012)9.  Added:  DCD/DAC/STAT(2001)9,
21000,21020,2025,,International HIV/AIDS Alliance ,,International HIV/AIDS Alliance,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2003)2,
21000,21022,2025,INAFI,International Network for Alternative Financial Institutions ,INAFI,Réseau international d’institutions financières,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3,
