,,,,,,,,,,,,,,,,,,
List of DAC members,,,,,List of multilateral donors,,,,,List of non-DAC donors,,,,,List of private donors,,,
DonorCode,Data Explorer code,DonorNameE,Donor name (FR),,Donor code,Data Explorer code,Donor name (EN),Donor name (FR),,DonorCode,Data Explorer code,Donor name (EN),Donor name (FR),,Donor code,Data Explorer code,Donor name (EN),Donor name (FR)
1,AUT,Austria,Autriche,,104,9OTH019,Nordic Development Fund,Fonds du dév. nordique,,26,MCO,Monaco,Monaco,,1601,9PRIV1601,Bill & Melinda Gates Foundation,Fondation Bill et Melinda Gates
2,BEL,Belgium,Belgique,,807,1UN016,UNEP,PNUE,,30,CYP,Cyprus,Chypre,,1602,9PLG0_NL,Dutch Postcode Lottery,Dutch Postcode Lottery
3,DNK,Denmark,Danemark,,811,9OTH011,Global Environment Facility,Fonds pour l'environnement mondial,,45,MLT,Malta,Malte,,1603,9PLG0_SE,Swedish Postcode Lottery,Swedish Postcode Lottery
4,FRA,France,France,,812,9OTH018,Montreal Protocol,Protocole de Montréal,,55,TUR,Türkiye,Türkiye,,1604,9PLG0_GB,People's Postcode Lottery,People's Postcode Lottery
5,DEU,Germany,Allemagne,,901,5WB001,International Bank for Reconstruction and Development,Banque internationale pour la reconstruction et le développement,,62,HRV,Croatia,Croatie,,1605,9PRIV1605,MetLife Foundation,Fondation MetLife
6,ITA,Italy,Italie,,902,5WB004,Multilateral Investment Guarantee Agency,Agence multilatérale de garantie des investissements,,70,LIE,Liechtenstein,Liechtenstein,,1606,9PRIV1606,Mastercard Foundation,Fondation Mastercard
7,NLD,Netherlands,Pays-Bas,,903,5WBG002,International Finance Corporation,Société financière international,,72,BGR,Bulgaria,Bulgarie,,1608,9PRIV1608,IKEA Foundation,Fondation IKEA
8,NOR,Norway,Norvège,,905,5WB002,International Development Association,Association internationale de développement,,77,ROU,Romania,Roumanie,,1609,9PRIV1609,Bernard van Leer Foundation,Fondation Bernard van Leer
9,PRT,Portugal,Portugal,,906,5RDB004,Caribbean Development Bank,Banque de développement des Caraïbes,,87,RUS,Russia,Russie,,1610,9PRIV1610,MAVA Foundation,"MAVA, Fondation pour la nature"
10,SWE,Sweden,Suède,,907,5IMF01,International Monetary Fund,Fond monétaire international,,130,DZA,Algeria,Algérie,,1611,9PRIV1611,Oak Foundation,Fondation Oak
11,CHE,Switzerland,Suisse,,909,5IDB001,Inter-American Development Bank,Banque Interaméricaine de développement,,133,LBY,Libya,Libye,,1612,9PRIV1612,H&M Foundation,Fondation H&M
12,GBR,United Kingdom,Royaume-Uni,,910,5RDB003,Central American Bank for Economic Integration,Banque centraméricaine d'intégration économique,,358,MEX,Mexico,Mexique,,1613,9PRIV1613,Laudes Foundation,Fondation Laudes
18,FIN,Finland,Finlande,,913,5AFDB001,African Development Bank,Banque Africaine de développement,,543,IRQ,Iraq,Irak,,1614,9PRIV1614,Charity Projects Ltd (Comic Relief),Charity Projects Ltd (Comic Relief)
20,ISL,Iceland,Islande,,914,5AFDB002,African Development Fund,Fonds Africaine de développement,,546,ISR,Israel,Israël,,1615,9PRIV1615,Children's Investment Fund Foundation,Children's Investment Fund Foundation
21,IRL,Ireland,Irlande,,915,5ASDB01,Asian Development Bank,Banque Asiatique de développement,,552,KWT,Kuwait,Koweit,,1616,9PRIV1616,Gatsby Charitable Foundation,Gatsby Charitable Foundation
22,LUX,Luxembourg,Luxembourg,,921,9OTH003,Arab Fund (AFESD),Fonds arabe (FADES),,561,QAT,Qatar,Qatar,,1617,9PRIV1617,Conrad N. Hilton Foundation,Fondation Conrad N. Hilton
40,GRC,Greece,Grèce,,923,1UN011,UN Peacebuilding Fund,Fonds de consolidation de la paix-ONU,,566,SAU,Saudi Arabia,Arabie saoudite,,1618,9PRIV1618,David and Lucile Packard Foundation,Fondation David et Lucile Packard
