,,,,,,,,,,,,,,,,,,
List of DAC members,,,,,List of multilateral donors,,,,,List of non-DAC donors,,,,,List of private donors,,,
DonorCode,Data Explorer code,DonorNameE,Donor name (FR),,Donor code,Data Explorer code,Donor name (EN),Donor name (FR),,DonorCode,Data Explorer code,Donor name (EN),Donor name (FR),,Donor code,Data Explorer code,Donor name (EN),Donor name (FR)
50,ESP,Spain,Espagne,,926, ,Council of Europe,Conseil de l'Europe,,576,ARE,United Arab Emirates,Emirats arabes unis,,1619,9PRIV1619,John D. and Catherine T. MacArthur Foundation,Fondation John D. et Catherine T. MacArthur
61,SVN,Slovenia,Slovénie,,928,1UN026,World Health Organisation,Organisation mondiale de la santé,,611,AZE,Azerbaijan,Azerbaïdjan,,1620,9PRIV1620,Carnegie Corporation of New York,Carnegie Corporation of New York
68,CZE,Czechia,Tchéquie,,932,1UN003,Food and Agriculture Organisation,Organisation pour l'alimentation et l'agriculture,,613,KAZ,Kazakhstan,Kazakhstan,,1621,9PRIV1621,Michael & Susan Dell Foundation,Fondation Michael et Susan Dell
69,SVK,Slovak Republic,République slovaque,,940,1UN006,International Labour Organisation,Organisation internationale du Travail,,732,TWN,Chinese Taipei,Taipei chinois,,1622,9PRIV1622,"Omidyar Network Fund, Inc.","Omidyar Network Fund, Inc."
75,HUN,Hungary,Hongrie,,944,1UN005,International Atomic Energy Agency,Agence internationale de l'énergie atomique,,764,THA,Thailand,Thaïlande,,1623,9PRIV1623,Rockefeller Foundation,Fondation Rockefeller
76,POL,Poland,Pologne,,948,1UN015,UNECE,CEE-ONU,,765,TLS,Timor-Leste,Timor oriental,,1624,9PRIV1624,William and Flora Hewlett Foundation,Fondation William et Flora Hewlett
82,EST,Estonia,Estonie,,951,9OTH020,OPEC Fund for International Development,Fonds OPEP pour le développement international,,,,,,,1625,9PRIV1625,Arcus Foundation,Fondation Arcus
83,LVA,Latvia,Lettonie,,952, ,OAPEC,OAPEC,,,,,,,1626,9PRIV1626,Gordon and Betty Moore Foundation,Fondation Gordon et Betty Moore
84,LTU,Lithuania,Lituanie,,953,9OTH002,Arab Bank for Economic Development in Africa,Banque arabe pour le développement économique en Afrique,,,,,,,1627,9PRIV1627,Ford Foundation,Fondation Ford
301,CAN,Canada,Canada,,954, ,Special Arab Aid Fund for Africa,Fonds spécial arabe d'aide à l'Afrique,,,,,,,1628,9PRIV1628,Wellcome Trust,Wellcome Trust
302,USA,United States,Etats-Unis,,956, ,IMF Trust Fund,IMF Trust Fund,,,,,,,1629,9PRIV1629,UBS Optimus Foundation,Fondation UBS Optimus
701,JPN,Japan,Japon,,958,5IMF02,IMF (Concessional Trust Funds),FMI (Fonds fiduciaires concessionnels),,,,,,,1630,9PRIV1630,World Diabetes Foundation,World Diabetes Foundation
742,KOR,Korea,Corée,,959,1UN014,UNDP,PNUD,,,,,,,1631,9PRIV1631,McKnight Foundation,Fondation McKnight
801,AUS,Australia,Australie,,960,1UN023,UNTA,ATNU,,,,,,,1632,9PRIV1632,Citi Foundation,Fondation Citi
820,NZL,New Zealand,Nouvelle-Zélande,,962,1UN020,United Nations Conference on Trade and Development,Conférence des Nations Unies sur le commerce et le développement,,,,,,,1633,9PRIV1633,LEGO Foundation,Fondation LEGO
918,4EU001,EU Institutions,Institutions de l'UE,,963,1UN019,UNICEF,UNICEF,,,,,,,1634,9PLG0_NO,Norwegian Postcode Lottery,Norwegian Postcode Lottery
,,,,,964,1UN022,UNRWA,UNRWA,,,,,,,1636,9PRIV1636,Jacobs Foundation,Fondation Jacobs
,,,,,966,1UN024,WFP,PAM,,,,,,,1637,9PRIV1637,Arcadia Fund,Fonds Arcadia
,,,,,967,1UN018,UNHCR,HCR,,,,,,,1638,9PRIV1638,Margaret A. Cargill Foundation,Fondation Margaret A. Cargill
,,,,,971,1UN013,UNAIDS,UNAIDS,,,,,,,1639,9PRIV1639,La Caixa Banking Foundation,Fondation la Caixa
,,,,,974,1UN017,UNFPA,FNUAP,,,,,,,1640,9PRIV1640,Bloomberg Family Foundation,Bloomberg Family Foundation
,,,,,976,5RDB009,Islamic Development Bank,Banque de développement islamique,,,,,,,1641,9PRIV1641,Susan T. Buffett Foundation,Fondation Susan T. Buffett
,,,,,978,9OTH021,OSCE,OSCE,,,,,,,1642,9PRIV1642,Howard G. Buffett Foundation,Fondation Howard G. Buffett
,,,,,979, ,Islamic Monetary Fund,Fond monétaire islamique,,,,,,,1643,9PRIV1643,Open Society Foundations,Open Society Foundations
,,,,,980, ,Arab Fund for Technical Assistance to African and Arab Countries,Fonds arabe pour l'assistance technique aux pays africains et arabes,,,,,,,1644,9PRIV1644,Fondation Botnar,Fondation Botnar
,,,,,981,5RDB002,Black Sea Trade & Development Bank,Banque de développement de la mer Noire,,,,,,,1645,9PRIV1645,CHANEL Foundation,Fondation CHANEL
,,,,,982, ,GODE,GODE,,,,,,,1646,9PRIV1646,Bezos Earth Fund,Bezos Earth Fund
,,,,,983, ,Other Arab Agencies,Autres Agences Arabes,,,,,,,1647,9PLG0_DE,German Postcode Lottery,German Postcode Lottery
,,,,,988,1UN004,IFAD,FIDA,,,,,,,1648,9PRIV1648,Leona M. and Harry B. Helmsley Charitable Trust,Leona M. and Harry B. Helmsley Charitable Trust
,,,,,990,5RDB007,European Bank for Reconstruction and Development,Banque européenne pour la reconstruction et le développement,,,,,,,1649,9PRIV1649,Novo Nordisk Foundation,Novo Nordisk Foundation
,,,,,992, ,UN AGENCIES,AGENCES DE L'ONU,,,,,,,1650,9PRIV1650,Good Ventures Foundation,
,,,,,997,9OTH014,Global Partnership for Education,Partenariat mondial pour l'Éducation,,,,,,,,,,
,,,,,1011,9OTH006,Climate Investment Funds,Fonds d'investissement climatique,,,,,,,,,,
,,,,,1012,9OTH001,Adaptation Fund,Fonds d'adaptation,,,,,,,,,,
,,,,,1013,5RDB005,Council of Europe Development Bank,Banque de développement du Conseil de l'Europe,,,,,,,,,,
,,,,,1014,9OTH022,Private Infrastructure Development Group,Groupe du développement des infrastructures privées,,,,,,,,,,
,,,,,1015,5RDB006,Development Bank of Latin America,Banque de développement de l'Amérique latine,,,,,,,,,,
,,,,,1016,9OTH015,Green Climate Fund,Fonds vert pour le climat,,,,,,,,,,
,,,,,1017,9OTH007,Credit Guarantee and Investment Facility,Credit Guarantee and Investment Facility,,,,,,,,,,
,,,,,1018,9OTH010,Global Energy Efficiency and Renewable Energy Fund,Fonds mondial de l'efficacité énergétique et des énergies renouvelables,,,,,,,,,,
,,,,,1019,5IDB003,IDB Invest,BID Invest,,,,,,,,,,
,,,,,1020,1UN001,Central Emergency Response Fund,Fonds central d'intervention pour les urgences humanitaires,,,,,,,,,,
,,,,,1023,1UN027,World Tourism Organisation,Organisation mondiale du tourisme,,,,,,,,,,
,,,,,1024,5RDB001,Asian Infrastructure Investment Bank,Banque asiatique d'investissement dans les infrastructures,,,,,,,,,,
,,,,,1025,9OTH005,Center of Excellence in Finance,Centre d'excellence en finance,,,,,,,,,,
,,,,,1037,5RDB008,International Investment Bank,Banque internationale d'investissement,,,,,,,,,,
,,,,,1038,1UN010,UN Institute for Disarmament Research,Institut des Nations unies pour la recherche sur le désarmement,,,,,,,,,,
,,,,,1039,1UN008,UN Capital Development Fund,UN Capital Development Fund,,,,,,,,,,
,,,,,1040,1UN032,UN Office on Drugs and Crime,Office des Nations Unies contre la drogue et le crime,,,,,,,,,,
,,,,,1045,5RDB011,North American Development Bank,North American Development Bank,,,,,,,,,,
,,,,,1046,1UN012,UN Women,ONU Femmes,,,,,,,,,,
,,,,,1047,1UN002,COVID-19 Response and Recovery Multi-Partner Trust Fund,COVID-19 Response and Recovery Multi-Partner Trust Fund,,,,,,,,,,
,,,,,1048,1UN007,Joint Sustainable Development Goals Fund,Fonds conjoint des objectifs de développement durable,,,,,,,,,,
,,,,,1049,9OTH017,International Commission on Missing Persons,Commission internationale pour les personnes disparues,,,,,,,,,,
,,,,,1050,1UN025,WHO-Strategic Preparedness and Response Plan,OMS-Plan stratégique de préparation et de réponse,,,,,,,,,,
,,,,,1052,9OTH016,International Centre for Genetic Engineering and Biotechnology,Centre international de génie génétique et de biotechnologie,,,,,,,,,,
,,,,,1053,9OTH004,Asian Forest Cooperation Organisation,Organisation asiatique de coopération forestière,,,,,,,,,,
,,,,,1054,9OTH023,World Organisation for Animal Health,Organisation mondiale de la santé animale,,,,,,,,,,
,,,,,1055,9OTH024,CGIAR,CGIAR,,,,,,,,,,
,,,,,1057,1UN030,UN Development Coordination Office,ONU-Bureau de la coordination des activités de développement,,,,,,,,,,
,,,,,1058,5IMF03,IMF Resilience and Sustainability Trust,Fonds de résilience et de durabilité du FMI,,,,,,,,,,
,,,,,1311,9OTH009,Global Alliance for Vaccines and Immunization,Alliance mondiale pour les vaccins et la vaccination,,,,,,,,,,
,,,,,1312,9OTH012,Global Fund,Fonds mondial,,,,,,,,,,
,,,,,1313,9OTH013,Global Green Growth Institute,Institut mondial de la croissance verte,,,,,,,,,,
,,,,,1401,1UN029,WTO - International Trade Centre,Centre du commerce international de l'OMC,,,,,,,,,,
,,,,,1403,1UN031,UN Economic and Social Commission for Western Asia,ONU Commission économique et sociale pour l'Asie occidentale,,,,,,,,,,
,,,,,1404,1UN028,World Trade Organisation,Organisation mondiale du commerce,,,,,,,,,,
,,,,,1406,1UN021,United Nations Industrial Development Organization,ONUDI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
