iso3,year,share_aidtype_technical_cooperation_outlier,share_aidtype_budget_support_outlier,share_aidtype_project_outlier,share_aidtype_pooled_earmarked_outlier,share_aidtype_ngo_core_outlier,share_aidtype_scholarships_students_outlier,share_aidtype_admin_refugee_awareness_outlier,oda_pct_gdp_outlier,any_outlier
TUR,1995,False,False,False,False,False,False,False,False,False
TUR,1996,False,False,False,False,False,False,False,False,False
TUR,1997,False,False,False,False,False,False,False,False,False
TUR,1998,False,False,False,False,False,False,False,False,False
TUR,1999,False,False,False,False,False,False,False,False,False
TUR,2000,False,False,False,False,False,False,False,False,False
TUR,2001,False,False,False,False,False,False,False,False,False
TUR,2002,False,False,False,False,False,False,False,False,False
TUR,2003,False,False,False,False,False,False,False,False,False
TUR,2004,False,False,False,False,False,False,False,False,False
TUR,2005,False,False,False,False,False,False,False,False,False
TUR,2006,False,False,False,False,False,True,False,False,True
TUR,2007,False,False,False,False,False,True,False,False,True
TUR,2008,False,False,False,False,False,True,False,False,True
TUR,2009,False,False,False,False,False,False,False,False,False
TUR,2010,False,False,False,False,False,True,False,False,True
TUR,2011,False,False,False,False,False,False,False,False,False
TUR,2012,False,False,False,False,False,False,False,False,False
TUR,2013,False,False,False,False,False,False,False,False,False
TUR,2014,False,False,False,False,False,False,False,False,False
TUR,2015,False,False,False,False,False,False,False,False,False
TUR,2016,False,False,False,True,False,False,False,False,True
TUR,2017,False,False,False,True,False,False,False,False,True
TUR,2018,False,False,False,True,False,False,False,False,True
TUR,2019,False,False,False,True,False,False,False,False,True
TUR,2020,False,False,False,True,False,False,False,False,True
TUR,2021,False,False,False,True,False,False,False,False,True
TUR,2022,False,False,False,True,False,False,False,False,True
TUR,2023,False,False,False,True,False,True,False,False,True
TUR,2024,False,False,False,False,False,True,False,False,True
XKX,1999,False,False,False,False,False,False,False,False,False
XKX,2009,False,False,False,False,False,False,False,True,True
XKX,2010,True,False,False,False,False,False,False,False,True
XKX,2011,True,False,False,False,False,False,False,False,True
XKX,2012,True,False,False,False,False,False,False,False,True
XKX,2013,True,False,False,False,False,False,False,False,True
XKX,2014,True,False,False,False,False,False,False,False,True
XKX,2015,True,False,False,False,False,False,False,False,True
XKX,2016,True,False,False,False,False,False,False,False,True
