window,outcome,term,beta,se,p,n
w1_2,log_gdppc,share_aidtype_technical_cooperation,-0.2242194817633704,0.1723851414869069,0.193447512360994,3804
w1_2,log_gdppc,share_aidtype_budget_support,-0.0698720946380486,0.0547523048408019,0.2019845930504893,3804
w1_2,log_gdppc,share_aidtype_project,0.0211792117722798,0.0473982911062343,0.6550209324379279,3804
w1_2,log_gdppc,share_aidtype_pooled_earmarked,-0.3564076803835799,0.2132153592253493,0.0946923690079084,3804
w1_2,log_gdppc,share_aidtype_ngo_core,-0.9943735348353988,0.5827736737903578,0.0880420554818699,3804
w1_2,log_gdppc,share_aidtype_scholarships_students,-0.0843488736814759,0.2667677622781558,0.7518777012333444,3804
w1_2,log_gdppc,share_aidtype_admin_refugee_awareness,-1.7052724681575453,0.5197680361835837,0.0010447966790478,3804
w1_2,gfcf_gdp,share_aidtype_technical_cooperation,3.866443371998786,8.156052570029122,0.6354937606492126,3091
w1_2,gfcf_gdp,share_aidtype_budget_support,-1.4589306903900514,1.8757816987625624,0.4367661897879262,3091
w1_2,gfcf_gdp,share_aidtype_project,0.8074154202362175,1.3483180748200514,0.5493315209284773,3091
w1_2,gfcf_gdp,share_aidtype_pooled_earmarked,-7.904793459992598,6.067741425059264,0.1927601013189277,3091
w1_2,gfcf_gdp,share_aidtype_ngo_core,2.537889213209448,17.170851697276067,0.8825090668023738,3091
w1_2,gfcf_gdp,share_aidtype_scholarships_students,5.608440549909725,6.554833514746416,0.3922785040675451,3091
w1_2,gfcf_gdp,share_aidtype_admin_refugee_awareness,-20.353896046514187,24.108404435174208,0.398589965090292,3091
w1_2,manf_gdp,share_aidtype_technical_cooperation,-4.876637567934817,2.7161082972499133,0.0726753338077057,3406
w1_2,manf_gdp,share_aidtype_budget_support,-0.1988854822089497,0.7278297447309311,0.7846721600340973,3406
w1_2,manf_gdp,share_aidtype_project,-0.3143755644007756,0.5793977879725584,0.5874493841361974,3406
w1_2,manf_gdp,share_aidtype_pooled_earmarked,-0.6101569405993263,3.056134577696453,0.8417669603183713,3406
w1_2,manf_gdp,share_aidtype_ngo_core,4.9518342593454685,7.245462139537356,0.4943782094034459,3406
w1_2,manf_gdp,share_aidtype_scholarships_students,-3.224426012207723,4.815028701982012,0.5031231868775099,3406
w1_2,manf_gdp,share_aidtype_admin_refugee_awareness,2.4163014803322884,9.473878490099535,0.7987016196066197,3406
w1_2,tax_gdp,share_aidtype_technical_cooperation,6.799995706592044,9.0204116220511,0.4510339273851644,2077
w1_2,tax_gdp,share_aidtype_budget_support,5.544141092291992,7.380376266366821,0.4526235899552089,2077
w1_2,tax_gdp,share_aidtype_project,2.332956155118132,3.400358370362394,0.492737886837292,2077
w1_2,tax_gdp,share_aidtype_pooled_earmarked,-59.1824247911165,65.18201125739667,0.3640144906588862,2077
